Year,Name,Count
1960,SUSAN,3299
1961,LISA,3497
1962,LISA,3698
1963,LISA,4661
1964,LISA,4541
1965,LISA,4629
1966,LISA,4672
1967,LISA,4361
1968,LISA,4301
1969,LISA,3956
1970,JENNIFER*,4681
1971,JENNIFER*,5468
1972,JENNIFER*,6063
1973,JENNIFER*,5628
1974,JENNIFER*,5631
1975,JENNIFER*,5311
1976,JENNIFER*,5564
1977,JENNIFER*,5553
1978,JENNIFER,5288
1979,JENNIFER,5463
1980,JENNIFER,5607
1981,JENNIFER,5618
1982,JENNIFER,5793
1983,JENNIFER,5865
1984,JENNIFER,5534
1985,JESSICA,5508
1986,JESSICA,5941
1987,JESSICA,6795
1988,JESSICA,6493
1989,JESSICA,6431
1990,JESSICA,6532
1991,JESSICA,6849
1992,JESSICA,6268
1993,JESSICA,5509
1994,JESSICA,5241
1995,JESSICA,4562
1996,JESSICA,3804
1997,JESSICA,3187
1998,JESSICA,2832
1999,EMILY,2805
2000,EMILY,2955
2001,EMILY,2921
2002,EMILY,3011
2003,EMILY,3398
2004,EMILY,3395
2005,EMILY,3276
2006,EMILY,3088
2007,EMILY,2954
2008,ISABELLA,2780
2009,ISABELLA,3156
2010,ISABELLA,3354
2011,SOPHIA,3549
2012,SOPHIA,3621
2013,SOPHIA,3447
2014,SOPHIA,3174
2015,SOPHIA,2944
2016,MIA,2792
2017,EMMA,2734
2018,EMMA,2746
2019,OLIVIA,2613
2020,OLIVIA,2352
2021,OLIVIA,2411
2022,OLIVIA,2189